wav_file,txt_file,groundtruth_text_raw,groundtruth_text_train,duration,aave,speaker_id,split,sr
data_processed_voc/wav/voc_7_part_349.wav,data_processed_voc/txt/voc_7_part_349.txt,And you thought they're gonna die by the time I graduate from high school.  I remember they came to my mother's funeral ninety-six,AND YOU THOUGHT THEY'RE GONNA DIE BY THE TIME I GRADUATE FROM HIGH SCHOOL I REMEMBER THEY CAME TO MY MOTHER'S FUNERAL NINETY SIX,11.091,0,7,train,44100
data_processed_voc/wav/voc_16_part_150.wav,data_processed_voc/txt/voc_16_part_150.txt,"Um, just some local stations and a lot of N P R. Mhm. Yeah. Usually talk shows and such. Little bit of music, occasionally.",UM JUST SOME LOCAL STATIONS AND A LOT OF N P R MHM YEAH USUALLY TALK SHOWS AND SUCH LITTLE BIT OF MUSIC OCCASIONALLY,11.692,0,16,train,44100
data_processed_voc/wav/voc_10_part_75.wav,data_processed_voc/txt/voc_10_part_75.txt,it's it's a it's this is a straight street and Truxton extension buts into it,IT'S IT'S A IT'S THIS IS A STRAIGHT STREET AND TRUXTON EXTENSION BUTS INTO IT,7.076,0,10,train,44100
data_processed_voc/wav/voc_0_part_58.wav,data_processed_voc/txt/voc_0_part_58.txt,we didn't have a plunge. But in later years they built the swimming pool down there. They built the park And uh Redding just started growing like leaps and bounds it,WE DIDN'T HAVE A PLUNGE BUT IN LATER YEARS THEY BUILT THE SWIMMING POOL DOWN THERE THEY BUILT THE PARK AND UH REDDING JUST STARTED GROWING LIKE LEAPS AND BOUNDS IT,11.059,0,0,train,48000
data_processed_voc/wav/voc_0_part_84.wav,data_processed_voc/txt/voc_0_part_84.txt,And that and that was with that was things that well I'd be late for recess or uh I'd g- go out and tease the girls or something like that. But I was a boy.,AND THAT AND THAT WAS WITH THAT WAS THINGS THAT WELL I'D BE LATE FOR RECESS OR UH I'D G GO OUT AND TEASE THE GIRLS OR SOMETHING LIKE THAT BUT I WAS A BOY,12.89,0,0,train,48000
data_processed_voc/wav/voc_20_part_104.wav,data_processed_voc/txt/voc_20_part_104.txt,beth coal toe pool tuesday cot fill almond gym egg pail colt pal ben both cut fail dam bath creak pull caught sat which,BETH COAL TOE POOL TUESDAY COT FILL ALMOND GYM EGG PAIL COLT PAL BEN BOTH CUT FAIL DAM BATH CREAK PULL CAUGHT SAT WHICH,20.557,0,20,train,44100
data_processed_voc/wav/voc_32_part_10.wav,data_processed_voc/txt/voc_32_part_10.txt,"Well, they ended up closing down when I w+was got into high school, so they don't exist anymore, but it was -- yeah, and they use it for, I think they still use it for um for a private school now. but it's not a public school anymore.",WELL THEY ENDED UP CLOSING DOWN WHEN I W WAS GOT INTO HIGH SCHOOL SO THEY DON'T EXIST ANYMORE BUT IT WAS YEAH AND THEY USE IT FOR I THINK THEY STILL USE IT FOR UM FOR A PRIVATE SCHOOL NOW BUT IT'S NOT A PUBLIC SCHOOL ANYMORE,12.81,0,32,train,44100
data_processed_voc/wav/voc_27_part_20.wav,data_processed_voc/txt/voc_27_part_20.txt,there um he has two two boys um that um is the main reason they moved back to um Frezno so he could be by his sons cuz they're still they're still in high school I mean they were younger when they moved back there but they're both in high school now so um they do plan on moving back here after the boys are,THERE UM HE HAS TWO TWO BOYS UM THAT UM IS THE MAIN REASON THEY MOVED BACK TO UM FREZNO SO HE COULD BE BY HIS SONS CAUSE THEY'RE STILL THEY'RE STILL IN HIGH SCHOOL I MEAN THEY WERE YOUNGER WHEN THEY MOVED BACK THERE BUT THEY'RE BOTH IN HIGH SCHOOL NOW SO UM THEY DO PLAN ON MOVING BACK HERE AFTER THE BOYS ARE,23.975,0,27,train,44100
data_processed_voc/wav/voc_13_part_6.wav,data_processed_voc/txt/voc_13_part_6.txt,yeah if I had to choose one that was my least favorite it would probably be high school um  just because that's sort of where I got separated from like my core group of friends I mean it was sort of a starting over and which good things came from it but  it was it was if if it was the most difficult it would have been that,YEAH IF I HAD TO CHOOSE ONE THAT WAS MY LEAST FAVORITE IT WOULD PROBABLY BE HIGH SCHOOL UM JUST BECAUSE THAT'S SORT OF WHERE I GOT SEPARATED FROM LIKE MY CORE GROUP OF FRIENDS I MEAN IT WAS SORT OF A STARTING OVER AND WHICH GOOD THINGS CAME FROM IT BUT IT WAS IT WAS IF IF IT WAS THE MOST DIFFICULT IT WOULD HAVE BEEN THAT,20.934,0,13,train,44100
data_processed_voc/wav/voc_0_part_31.wav,data_processed_voc/txt/voc_0_part_31.txt,Which was Rex Wittner and he had worked in [inaudible] and uh Then I went to work for Montgomery-Ward. And I retired from Montgomery-Ward's after thirty years.,WHICH WAS REX WITTNER AND HE HAD WORKED IN AND UH THEN I WENT TO WORK FOR MONTGOMERY WARD AND I RETIRED FROM MONTGOMERY WARD'S AFTER THIRTY YEARS,12.104,0,0,train,48000
